Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
162,New Caledonia,4,4,29,1,7.25,2
163,Mauritania,4,4,15,0,3.75,1
164,Bermuda,4,4,14,0,3.5,1
165,Togo,4,4,0,0,0,0
166,Greenland,3,3,94,0,31.33,3
167,Mali,3,3,5,0,1.67,1
168,Netherlands Antilles,3,3,11,0,3.67,1
169,American Samoa,3,3,1,0,0.33,1
170,Samoa,3,3,19,1,6.33,1
171,Cape Verde,3,3,24,0,8,2
172,French Guiana,3,3,4,1,1.33,1
173,Nauru,2,2,2,0,1,1
174,Saint Lucia,2,2,0,0,0,0
175,Haïti,2,2,8,1,4,2
176,Guyana,2,2,0,0,0,0
177,Andorra,2,2,18,0,9,1
178,Seychelles,2,2,9,2,4.5,1
179,Maldives,2,1,1,0,0.5,1
180,Burundi,2,2,27,0,13.5,1
181,Antigua and Barbuda,2,2,1,1,0.5,1
182,Cayman Islands,2,2,4,0,2,1
183,Bahamas,1,1,0,0,0,0
184,Gibraltar,1,1,0,0,0,0
185,Gambia,1,1,0,0,0,0
186,Liberia,1,1,14,0,14,1
187,Reunion,1,1,4,1,4,1
188,Palau,1,1,0,0,0,0
189,British Indian Ocean Territory,1,1,51,0,51,1
190,Kiribati,1,1,0,0,0,0
191,Christmas Island,1,1,0,0,0,0
192,Belize,1,1,9,0,9,1
193,Saint Helena,1,1,43,0,43,1
